epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.3867079019546509,2253,0.06385886669158936,,8.254171371459961
0,,2253,,8.502608299255371,
1,0.43855345249176025,4507,0.053970277309417725,,7.7838006019592285
1,,4507,,7.944568634033203,
2,0.5700176954269409,6761,0.08865302801132202,,7.555427074432373
2,,6761,,7.572871208190918,
3,0.5756422281265259,9015,0.15997767448425293,,7.45820426940918
3,,9015,,7.315439701080322,
4,0.6344589591026306,11269,0.21837258338928223,,7.411080837249756
4,,11269,,7.1215057373046875,
5,0.7342731356620789,13523,0.2627609968185425,,7.394411563873291
5,,13523,,6.947826862335205,
6,0.748369038105011,15777,0.3276877999305725,,7.392138957977295
6,,15777,,6.782512664794922,
7,0.7997632026672363,18031,0.42615312337875366,,7.39436149597168
7,,18031,,6.619739532470703,
8,0.9113584756851196,20285,0.47760480642318726,,7.422495365142822
8,,20285,,6.458834648132324,
9,1.0349876880645752,22539,0.5482194423675537,,7.444634914398193
9,,22539,,6.301433563232422,
10,0.9744019508361816,24793,0.6004169583320618,,7.492112159729004
10,,24793,,6.145989418029785,
11,1.125016689300537,27047,0.7086853384971619,,7.537768840789795
11,,27047,,5.997430801391602,
12,0.772090494632721,27048,0.25290727615356445,,7.387426376342773
