epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.0003898739814758301,663,0.07985138893127441,,7.747427463531494
0,,663,,8.29177474975586,
1,-0.0006137490272521973,1327,0.15909802913665771,,7.399381160736084
1,,1327,,7.52725076675415,
2,-0.00029534101486206055,1991,0.20035654306411743,,7.242246150970459
2,,1991,,7.189077854156494,
3,-0.00022739171981811523,2655,0.24584782123565674,,7.201203346252441
3,,2655,,6.929284572601318,
4,-0.0008319616317749023,3319,0.269164502620697,,7.206944942474365
4,,3319,,6.6960272789001465,
5,-0.00012999773025512695,3983,0.34166741371154785,,7.225839614868164
5,,3983,,6.478616714477539,
6,-0.0008627772331237793,4647,0.3868834972381592,,7.300839424133301
6,,4647,,6.270470142364502,
