epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.35338592529296875,2253,0.01237332820892334,,8.501011848449707
0,,2253,,8.73389720916748,
1,0.3847966194152832,4507,0.028117358684539795,,7.883820533752441
1,,4507,,8.102325439453125,
2,0.49021226167678833,6761,0.05328494310379028,,7.687124252319336
2,,6761,,7.7606306076049805,
3,0.4593755602836609,9015,0.10400301218032837,,7.599175930023193
3,,9015,,7.580183982849121,
4,0.5661166310310364,11269,0.16070181131362915,,7.541849613189697
4,,11269,,7.449375152587891,
5,0.46781641244888306,13523,0.16660165786743164,,7.485836029052734
5,,13523,,7.342988014221191,
6,0.5714765191078186,15777,0.18710929155349731,,7.4563093185424805
6,,15777,,7.250443458557129,
7,0.6009787321090698,18031,0.2532171607017517,,7.433154582977295
7,,18031,,7.165480613708496,
8,0.6644561886787415,20285,0.27246159315109253,,7.420807838439941
8,,20285,,7.0876288414001465,
9,0.634497880935669,22539,0.3038281798362732,,7.407139778137207
9,,22539,,7.014616966247559,
10,0.5750336050987244,24793,0.33768272399902344,,7.405669212341309
10,,24793,,6.944287300109863,
11,0.5812230706214905,27047,0.37507379055023193,,7.389967441558838
11,,27047,,6.8788371086120605,
12,0.5779519081115723,29301,0.40854907035827637,,7.395543098449707
12,,29301,,6.812592029571533,
13,0.6642271280288696,31555,0.4413764476776123,,7.3907647132873535
13,,31555,,6.749783039093018,
14,0.5800486207008362,33809,0.4621012806892395,,7.3865156173706055
14,,33809,,6.6880388259887695,
15,0.6743935346603394,36063,0.47598087787628174,,7.391020774841309
15,,36063,,6.625918388366699,
16,0.6750682592391968,38317,0.5094678997993469,,7.400445461273193
16,,38317,,6.56712532043457,
17,0.6814501285552979,40571,0.5419044494628906,,7.393798828125
17,,40571,,6.5101213455200195,
18,0.6070753335952759,42825,0.5534518957138062,,7.405997276306152
18,,42825,,6.451313495635986,
