epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.0024099349975585938,1502,0.06865262985229492,,8.136953353881836
0,,1502,,8.533448219299316,
1,0.014393985271453857,3005,0.09710347652435303,,7.743825912475586
1,,3005,,7.878039360046387,
2,0.03975790739059448,4508,0.1677568554878235,,7.584106922149658
2,,4508,,7.565845489501953,
3,0.05803823471069336,6011,0.17394083738327026,,7.493351459503174
3,,6011,,7.3780412673950195,
4,0.07180112600326538,7514,0.19070756435394287,,7.434828281402588
4,,7514,,7.225000381469727,
5,0.07577258348464966,9017,0.2325965166091919,,7.409032821655273
5,,9017,,7.089189052581787,
6,0.0645490288734436,10520,0.27661770582199097,,7.405672073364258
6,,10520,,6.964042663574219,
7,0.08102041482925415,12023,0.28582584857940674,,7.417759895324707
7,,12023,,6.847535133361816,
8,0.09091627597808838,13526,0.33004462718963623,,7.441161632537842
8,,13526,,6.735781192779541,
9,0.07087117433547974,15029,0.3463473320007324,,7.475311279296875
9,,15029,,6.629403114318848,
